Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,samp_size,Sample Name,Source_material_ID,SRA Study
SRR5369305,AMPLICON,600,33861000,PRJNA379981,SAMN06627740,Metagenome or environmental,23119881,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664606,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1423334 N 155.7672201 W,3_6_BAC95,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_6_BAC95,Sample95,SRP102378
SRR5369306,AMPLICON,600,23985600,PRJNA379981,SAMN06627739,Metagenome or environmental,16681383,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664607,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1409406 N 155.7633525 W,3_5_BAC94,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_5_BAC94,Sample94,SRP102378
SRR5369307,AMPLICON,600,19582200,PRJNA379981,SAMN06627738,Metagenome or environmental,13585419,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664608,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1395456 N 155.7584621 W,3_4_BAC93,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_4_BAC93,Sample93,SRP102378
SRR5369308,AMPLICON,600,23574600,PRJNA379981,SAMN06627737,Metagenome or environmental,16074621,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664609,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1370346 N 155.7533418 W,3_3_BAC92,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_3_BAC92,Sample92,SRP102378
SRR5369309,AMPLICON,600,20683800,PRJNA379981,SAMN06627736,Metagenome or environmental,14215655,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664611,USA,North America,USA: Hawaii,Illumina MiSeq,soil,not applicable,3_2B_BAC91,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_2B_BAC91,Sample91,SRP102378
SRR5369310,AMPLICON,600,18654000,PRJNA379981,SAMN06627735,Metagenome or environmental,12554014,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664612,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1346374 N 155.7484341 W,3_2_BAC90,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_2_BAC90,Sample90,SRP102378
SRR5369311,AMPLICON,600,20991600,PRJNA379981,SAMN06627734,Metagenome or environmental,14780080,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664613,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1322805 N 155.7449897 W,3_1B_BAC89,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_1B_BAC89,Sample89,SRP102378
SRR5369312,AMPLICON,600,17640000,PRJNA379981,SAMN06627733,Metagenome or environmental,12152218,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664614,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1322805 N 155.7449897 W,3_1A_BAC88,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_1A_BAC88,Sample88,SRP102378
SRR5369313,AMPLICON,600,61200,PRJNA379981,SAMN06627732,Metagenome or environmental,123912,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664615,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1322805 N 155.7449897 W,3_1_BAC87,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_1_BAC87,Sample87,SRP102378
SRR5369314,AMPLICON,600,4442400,PRJNA379981,SAMN06627731,Metagenome or environmental,3205840,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664616,USA,North America,USA: Hawaii,Illumina MiSeq,soil,not applicable,1_PC2_BAC86,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_PC2_BAC86,Sample86,SRP102378
SRR5369315,AMPLICON,600,1050000,PRJNA379981,SAMN06627730,Metagenome or environmental,848674,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664617,USA,North America,USA: Hawaii,Illumina MiSeq,soil,not applicable,1_PC1_BAC85,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_PC1_BAC85,Sample85,SRP102378
SRR5369316,AMPLICON,600,335400,PRJNA379981,SAMN06627729,Metagenome or environmental,314259,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664618,USA,North America,USA: Hawaii,Illumina MiSeq,soil,not applicable,1_EC_BAC84,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_EC_BAC84,Sample84,SRP102378
SRR5369317,AMPLICON,600,316200,PRJNA379981,SAMN06627728,Metagenome or environmental,298834,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664619,USA,North America,USA: Hawaii,Illumina MiSeq,soil,not applicable,1_EC2A_BAC83,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_EC2A_BAC83,Sample83,SRP102378
SRR5369318,AMPLICON,600,535800,PRJNA379981,SAMN06627727,Metagenome or environmental,460780,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664620,USA,North America,USA: Hawaii,Illumina MiSeq,soil,not applicable,1_EC1A_BAC82,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_EC1A_BAC82,Sample82,SRP102378
SRR5369319,AMPLICON,600,1262400,PRJNA379981,SAMN06627726,Metagenome or environmental,951185,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664621,USA,North America,USA: Hawaii,Illumina MiSeq,soil,not applicable,1_EC5_BAC81,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_EC5_BAC81,Sample81,SRP102378
SRR5369320,AMPLICON,600,21151200,PRJNA379981,SAMN06627725,Metagenome or environmental,14611635,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664622,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1162568 N 155.8806141 W,1_46B_BAC80,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_46B_BAC80,Sample80,SRP102378
SRR5369321,AMPLICON,600,29160000,PRJNA379981,SAMN06627724,Metagenome or environmental,20056924,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664623,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1162568 N 155.8806141 W,1_46A_BAC79,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_46A_BAC79,Sample79,SRP102378
SRR5369322,AMPLICON,600,16956600,PRJNA379981,SAMN06627723,Metagenome or environmental,11932005,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664624,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1162568 N 155.8806141 W,1_46S_BAC78,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_46S_BAC78,Sample78,SRP102378
SRR5369323,AMPLICON,600,6889200,PRJNA379981,SAMN06627722,Metagenome or environmental,4859352,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664625,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1162568 N 155.8806141 W,1_46_BAC77,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_46_BAC77,Sample77,SRP102378
SRR5369324,AMPLICON,600,382800,PRJNA379981,SAMN06627721,Metagenome or environmental,346858,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664626,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1142141 N 155.8785506 W,1_45S_BAC76,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_45S_BAC76,Sample76,SRP102378
SRR5369325,AMPLICON,600,17043000,PRJNA379981,SAMN06627720,Metagenome or environmental,11882059,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664627,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1142141 N 155.8785506 W,1_45_BAC75,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_45_BAC75,Sample75,SRP102378
SRR5369326,AMPLICON,600,21757800,PRJNA379981,SAMN06627719,Metagenome or environmental,15435464,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664628,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1137888 N 155.8758476 W,1_44S_BAC74,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_44S_BAC74,Sample74,SRP102378
SRR5369327,AMPLICON,600,16122000,PRJNA379981,SAMN06627718,Metagenome or environmental,11292441,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664629,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1137888 N 155.8758476 W,1_44_BAC73,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_44_BAC73,Sample73,SRP102378
SRR5369328,AMPLICON,600,7618200,PRJNA379981,SAMN06627717,Metagenome or environmental,5379026,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664630,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1139416 N 155.8736713 W,1_43_BAC72,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_43_BAC72,Sample72,SRP102378
SRR5369329,AMPLICON,600,2274600,PRJNA379981,SAMN06627716,Metagenome or environmental,1661719,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664631,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1176022 N 155.8711959 W,1_42_BAC71,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_42_BAC71,Sample71,SRP102378
SRR5369330,AMPLICON,600,17506800,PRJNA379981,SAMN06627715,Metagenome or environmental,12227499,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664632,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1189872 N 155.8693001 W,1_41B_BAC70,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_41B_BAC70,Sample70,SRP102378
SRR5369331,AMPLICON,600,18942600,PRJNA379981,SAMN06627714,Metagenome or environmental,12877077,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664633,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1189872 N 155.8693001 W,1_41A_BAC69,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_41A_BAC69,Sample69,SRP102378
SRR5369332,AMPLICON,600,22710000,PRJNA379981,SAMN06627713,Metagenome or environmental,15774263,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664634,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1189872 N 155.8693001 W,1_41S_BAC68,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_41S_BAC68,Sample68,SRP102378
SRR5369333,AMPLICON,600,22733400,PRJNA379981,SAMN06627712,Metagenome or environmental,16033489,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664635,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1189872 N 155.8693001 W,1_41_BAC67,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_41_BAC67,Sample67,SRP102378
SRR5369334,AMPLICON,600,23881200,PRJNA379981,SAMN06627711,Metagenome or environmental,16740940,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664636,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1207264 N 155.8678312 W,1_40_BAC66,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_40_BAC66,Sample66,SRP102378
SRR5369335,AMPLICON,600,19247400,PRJNA379981,SAMN06627710,Metagenome or environmental,13537367,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664637,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1228257 N 155.8658719 W,1_39S_BAC65,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_39S_BAC65,Sample65,SRP102378
SRR5369336,AMPLICON,600,11988000,PRJNA379981,SAMN06627709,Metagenome or environmental,8401408,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664638,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1228257 N 155.8658719 W,1_39_BAC64,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_39_BAC64,Sample64,SRP102378
SRR5369337,AMPLICON,600,3211800,PRJNA379981,SAMN06627708,Metagenome or environmental,2269133,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664639,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1246901 N 155.8639178 W,1_38_BAC63,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_38_BAC63,Sample63,SRP102378
SRR5369338,AMPLICON,600,30055800,PRJNA379981,SAMN06627707,Metagenome or environmental,21350369,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664640,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1265913 N 155.8619261 W,1_37S_BAC62,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_37S_BAC62,Sample62,SRP102378
SRR5369339,AMPLICON,600,40200,PRJNA379981,SAMN06627706,Metagenome or environmental,108549,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664641,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1265913 N 155.8619261 W,1_37_BAC61,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_37_BAC61,Sample61,SRP102378
SRR5369340,AMPLICON,600,17969400,PRJNA379981,SAMN06627705,Metagenome or environmental,12383240,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664642,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1294363 N 155.8596266 W,1_36B_BAC60,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_36B_BAC60,Sample60,SRP102378
SRR5369341,AMPLICON,600,22824600,PRJNA379981,SAMN06627704,Metagenome or environmental,15934797,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664643,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1294363 N 155.8596266 W,1_36A_BAC59,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_36A_BAC59,Sample59,SRP102378
SRR5369342,AMPLICON,600,16206600,PRJNA379981,SAMN06627703,Metagenome or environmental,11279617,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664644,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1294363 N 155.8596266 W,1_36_BAC58,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_36_BAC58,Sample58,SRP102378
SRR5369343,AMPLICON,600,20974200,PRJNA379981,SAMN06627702,Metagenome or environmental,14624242,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664646,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1308516 N 155.8575303 W,1_35_BAC57,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_35_BAC57,Sample57,SRP102378
SRR5369344,AMPLICON,600,16915200,PRJNA379981,SAMN06627701,Metagenome or environmental,11865325,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664647,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1326371 N 155.8559856 W,1_34_BAC56,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_34_BAC56,Sample56,SRP102378
SRR5369345,AMPLICON,600,27899400,PRJNA379981,SAMN06627700,Metagenome or environmental,19745337,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664648,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1342108 N 155.8541407 W,1_33S_BAC55,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_33S_BAC55,Sample55,SRP102378
SRR5369346,AMPLICON,600,34639800,PRJNA379981,SAMN06627699,Metagenome or environmental,23852401,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664649,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1342108 N 155.8541407 W,1_33_BAC54,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_33_BAC54,Sample54,SRP102378
SRR5369347,AMPLICON,600,40107600,PRJNA379981,SAMN06627698,Metagenome or environmental,28026180,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664650,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1367965 N 155.8522377 W,1_32S_BAC53,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_32S_BAC53,Sample53,SRP102378
SRR5369348,AMPLICON,600,16453200,PRJNA379981,SAMN06627697,Metagenome or environmental,11290747,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664651,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1367965 N 155.8522377 W,1_32_BAC52,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_32_BAC52,Sample52,SRP102378
SRR5369349,AMPLICON,600,30362400,PRJNA379981,SAMN06627696,Metagenome or environmental,21089106,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664652,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1389061 N 155.8507466 W,1_31B_BAC51,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_31B_BAC51,Sample51,SRP102378
SRR5369350,AMPLICON,600,6889800,PRJNA379981,SAMN06627695,Metagenome or environmental,4926204,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664653,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1389061 N 155.8507466 W,1_EC3_BAC50,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,1_EC3_BAC50,Sample50,SRP102378
